date,value
"2016-02-16",2.489739896
"2016-02-17",2.806062219
"2016-02-18",5.004012877
"2016-02-19",4.608619610
"2016-02-20",2.911110021
"2016-02-21",4.701929348
"2016-02-22",1.708932147
"2016-02-23",1.733196675
"2016-02-24",2.064442313
"2016-02-25",2.606181257
"2016-02-26",4.451810594
"2016-02-27",3.68104335
"2016-02-28",2.079298933
"2016-02-29",3.155082772
"2016-03-01",2.293588704
"2016-03-02",4.381927715
"2016-03-03",3.535326769
"2016-03-04",2.307977710
"2016-03-05",2.835806313
"2016-03-06",1.96072390
"2016-03-07",8.060110907
"2016-03-08",7.669807833
"2016-03-09",5.228307260
"2016-03-10",3.947267873
"2016-03-11",3.020482971
"2016-03-12",1.844683156
"2016-03-13",0.47098912
"2016-03-14",2.97968211
"2016-03-15",3.845645471
"2016-03-16",7.020426829
"2016-03-17",5.130518995
"2016-03-18",4.519126126
"2016-03-19",3.028411577
"2016-03-20",0.26863166
"2016-03-21",2.991388107
"2016-03-22",3.56780361
"2016-03-23",3.97635852
"2016-03-24",1.474833422
"2016-03-25",1.48864320
"2016-03-26",1.83576410
"2016-03-27",3.31301757
"2016-03-28",4.74528105
"2016-03-29",3.89573903
"2016-03-30",5.75910242
"2016-03-31",5.8292540
"2016-04-01",4.96820613
"2016-04-02",1.55003055
"2016-04-03",2.28886198
"2016-04-04",3.12157813
"2016-04-05",6.31404007
"2016-04-06",6.64827274
"2016-04-07",6.34657015
"2016-04-08",7.52862515
"2016-04-09",3.85963207
"2016-04-10",1.17207963
"2016-04-11",6.05023247
"2016-04-12",7.19454712
"2016-04-13",3.48535998
"2016-04-14",7.069693125
"2016-04-15",2.64754610
"2016-04-16",0.82318447
"2016-04-17",1.14412987
"2016-04-18",2.922117604
"2016-04-19",1.87941110
"2016-04-20",6.53313833
"2016-04-21",5.21652662
"2016-04-22",0.70299633
"2016-04-23",0.74642241
"2016-04-24",0.61453149
"2016-04-25",2.60289192
"2016-04-26",2.54856531
"2016-04-27",4.47709080
"2016-04-28",3.45971204
"2016-04-29",6.39706321
"2016-04-30",6.72242316
"2016-05-01",3.4133145
"2016-05-02",3.57583238
"2016-05-03",1.93925140
"2016-05-04",3.34391118
"2016-05-05",7.34527568
"2016-05-06",0.63457998
"2016-05-07",2.91631635
"2016-05-08",1.21858759
"2016-05-09",3.00546982
"2016-05-10",2.58004485
"2016-05-11",5.95042995
"2016-05-12",4.86659575
"2016-05-13",3.43098999
"2016-05-14",4.74352198
"2016-05-15",3.57536854
"2016-05-16",3.27528670
"2016-05-17",2.65944089
"2016-05-18",2.95180709
"2016-05-19",5.05836102
"2016-05-20",3.82931978
"2016-05-21",2.33382103
"2016-05-22",1.39371958
"2016-05-23",5.085603085
"2016-05-24",2.75141397
"2016-05-25",3.98636083
"2016-05-26",4.70818045
"2016-05-27",4.54706993
"2016-05-28",0.23064111
"2016-05-29",0.41586941
"2016-05-30",4.30876588
"2016-05-31",3.20643732
"2016-06-01",4.10931691
"2016-06-02",5.028306230
"2016-06-03",2.24925631
"2016-06-04",1.34979078
"2016-06-05",1.82840617
"2016-06-06",4.98839161
"2016-06-07",6.35738447
"2016-06-08",2.35208744
"2016-06-09",4.67614899
"2016-06-10",6.23915793
"2016-06-11",0.44565206
"2016-06-12",0.8960095
"2016-06-13",8.29989697
"2016-06-14",3.98523503
"2016-06-15",3.80338917
"2016-06-16",3.50026606
"2016-06-17",0.62459540
"2016-06-18",5.23835655
"2016-06-19",5.60939237
"2016-06-20",0.6149206
"2016-06-21",2.80357228
"2016-06-22",0.84378256
"2016-06-23",4.24287537
"2016-06-24",6.01559811
"2016-06-25",2.90273572
"2016-06-26",0.64127959
"2016-06-27",4.6440611
"2016-06-28",2.92675124
"2016-06-29",3.93910283
"2016-06-30",9.91083260
"2016-07-01",5.64247392
"2016-07-02",0.54065513
"2016-07-03",3.70255878
"2016-07-04",4.038918441
"2016-07-05",6.41041262
"2016-07-06",5.635207906
"2016-07-07",4.68242413
"2016-07-08",4.92044487
"2016-07-09",1.06851311
"2016-07-10",1.6316407
"2016-07-11",4.02884868
"2016-07-12",5.28978404
"2016-07-13",6.48678493
"2016-07-14",5.09874148
"2016-07-15",1.53937993
"2016-07-16",3.80189001
"2016-07-17",0.80761347
"2016-07-18",3.25635508
"2016-07-19",3.14302745
"2016-07-20",3.29464284
"2016-07-21",4.60783950
"2016-07-22",5.934088956
"2016-07-23",4.33077383
"2016-07-24",3.10626570
"2016-07-25",2.55370857
"2016-07-26",4.37448059
"2016-07-27",2.81690997
"2016-07-28",5.38444530
"2016-07-29",3.88712258
"2016-07-30",5.28465392
"2016-07-31",4.06981181
"2016-08-01",4.74652096
"2016-08-02",3.82469967
"2016-08-03",3.10209487
"2016-08-04",4.54371013
"2016-08-05",3.10613120
"2016-08-06",5.47742889
"2016-08-07",5.88831517
"2016-08-08",2.04114859
"2016-08-09",9.26674687
"2016-08-10",1.487495634
"2016-08-11",2.98085967
"2016-08-12",9.31487867
"2016-08-13",5.31032653
"2016-08-14",3.90812898
"2016-08-15",1.08266516
"2016-08-16",8.10336433
"2016-08-17",3.20230040
"2016-08-18",5.66051770
"2016-08-19",4.42791507
"2016-08-20",2.98245104
"2016-08-21",6.85420610
"2016-08-22",4.64294232
"2016-08-23",3.71384163
"2016-08-24",7.25632118
"2016-08-25",5.71329526
"2016-08-26",7.81891268
"2016-08-27",2.58819125
"2016-08-28",8.42528467
"2016-08-29",4.90814473
"2016-08-30",7.94485829
"2016-08-31",4.38308660
"2016-09-01",4.16690621
"2016-09-02",5.246247292
"2016-09-03",2.02869320
"2016-09-04",5.2809259
"2016-09-05",5.11823797
"2016-09-06",2.97882712
"2016-09-07",2.38278748
"2016-09-08",5.51718249
"2016-09-09",3.99992772
"2016-09-10",1.49738569
"2016-09-11",1.79038549
"2016-09-12",1.91749368
"2016-09-13",2.46199762
"2016-09-14",1.034815545
"2016-09-15",9.74850981
"2016-09-16",4.80605938
"2016-09-17",5.32229959
"2016-09-18",0.70845145
"2016-09-19",5.10347431
"2016-09-20",2.812688467
"2016-09-21",0.91011647
"2016-09-22",5.28274548
"2016-09-23",4.85663935
"2016-09-24",1.85351983
"2016-09-25",2.61773922
"2016-09-26",5.58806686
"2016-09-27",4.91629534
"2016-09-28",4.54799674
"2016-09-29",7.61618010
"2016-09-30",1.51241789
"2016-10-01",5.915582209
"2016-10-02",2.75100079
